Data,DiÛxido de Enxofre,PartÌculas < 10 µm,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-09 02:00:00,,59940,38420,58981,13410,,
2017-01-09 03:00:00,,49950,29210,37919,5680,,
2017-01-09 04:00:00,,47730,19400,21853,1600,,
2017-01-09 05:00:00,,40520,30040,39608,6240,,
2017-01-09 06:00:00,,38850,27880,32909,3280,,
2017-01-09 07:00:00,,38850,30420,36660,4070,,
2017-01-09 08:00:00,,38850,37160,60175,15010,,
2017-01-09 09:00:00,,38020,26510,37841,7390,,
2017-01-09 10:00:00,,37740,25380,44362,12380,,
2017-01-09 11:00:00,,32470,16010,25256,6030,,
2017-01-09 12:00:00,,31080,12090,16904,3140,,
2017-01-09 13:00:00,,21650,14900,22060,4670,,
2017-01-09 14:00:00,,18870,14220,20092,3830,,
2017-01-09 15:00:00,,11660,16480,27044,6890,,
2017-01-09 16:00:00,,9990,27810,38252,6810,,
2017-01-09 17:00:00,,35520,77590,168636,59380,,
2017-01-09 18:00:00,,41070,84900,217437,86440,,
2017-01-09 19:00:00,,35520,42380,56302,9080,,
2017-01-09 20:00:00,,34410,30460,37743,4750,,
2017-01-09 21:00:00,,27200,20450,23149,1760,,
2017-01-09 22:00:00,,25530,21220,22677,950,,
2017-01-09 23:00:00,,21090,21860,25157,2150,,
2017-01-10 00:00:00,,19980,12210,13989,1160,,
2017-01-10 01:00:00,,18320,12480,14182,1110,,
2017-01-10 02:00:00,,17760,6410,8051,1070,,
2017-01-10 03:00:00,,11380,5780,6593,530,,
2017-01-10 04:00:00,,9990,7030,9284,1470,,
2017-01-10 05:00:00,,17210,14900,19285,2860,,
2017-01-10 06:00:00,,18870,16170,21061,3190,,
2017-01-10 07:00:00,,20540,15000,18297,2150,,
2017-01-10 08:00:00,,21090,21820,26481,3040,,
2017-01-10 09:00:00,,13880,13720,16802,2010,,
2017-01-10 10:00:00,,12210,11320,16763,3550,,
2017-01-10 11:00:00,,14990,8620,12131,2290,,
2017-01-10 12:00:00,,15540,9230,12557,2170,,
2017-01-10 13:00:00,,13040,10970,14880,2550,,
2017-01-10 14:00:00,,12210,14830,21009,4030,,
2017-01-10 15:00:00,,19430,13350,18134,3120,,
2017-01-10 16:00:00,,21090,16960,23369,4180,,
2017-01-10 17:00:00,,18320,12710,18291,3640,,
2017-01-10 18:00:00,,17760,19080,24048,3240,,
2017-01-10 19:00:00,,15820,21290,27346,3950,,
2017-01-10 20:00:00,,15540,19570,24293,3080,,
